route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,exceptional
451,0#1,0#1789-9,"PONTE MAMMOLO (MB)","20767063",1,"",11573,0,0
451,0#1,0#1789-10,"CINECITTA' (MA)","20767064",0,"",11574,0,0
451,0#1,0#1789-11,"PONTE MAMMOLO (MB)","20767065",1,"",11573,0,0
451,0#1,0#1789-12,"CINECITTA' (MA)","20767066",0,"",11574,0,0
451,0#1,0#1789-13,"PONTE MAMMOLO (MB)","20767067",1,"",11573,0,0
451,0#1,0#1789-14,"CINECITTA' (MA)","20767068",0,"",11574,0,0
451,0#29,0#1790-2,"PONTE MAMMOLO (MB)","24143840",1,"",700095,0,0
451,0#29,0#1790-3,"CINECITTA' (MA)","24143836",0,"",11574,0,0
451,0#29,0#1790-4,"PONTE MAMMOLO (MB)","24143833",1,"",11573,0,0
451,0#29,0#1790-5,"CINECITTA' (MA)","24143837",0,"",11574,0,0
451,0#29,0#1790-6,"PONTE MAMMOLO (MB)","24143834",1,"",11573,0,0
451,0#29,0#1790-7,"CINECITTA' (MA)","24143838",0,"",11574,0,0
451,0#29,0#1790-8,"PONTE MAMMOLO (MB)","24143835",1,"",11573,0,0
451,0#29,0#1790-9,"CINECITTA' (MA)","24143839",0,"",11574,0,0
451,0#18,0#1791-2,"CINECITTA' (MA)","17451862",0,"",700094,0,0
451,0#18,0#1791-3,"PONTE MAMMOLO (MB)","17451849",1,"",11573,0,0
451,0#18,0#1791-4,"CINECITTA' (MA)","17451850",0,"",11574,0,0
451,0#18,0#1791-5,"PONTE MAMMOLO (MB)","17451851",1,"",11573,0,0
451,0#18,0#1791-6,"CINECITTA' (MA)","17451852",0,"",11574,0,0
451,0#18,0#1791-7,"PONTE MAMMOLO (MB)","17451864",1,"",11573,0,0
451,0#18,0#1791-8,"CINECITTA' (MA)","17451853",0,"",11574,0,0
451,0#18,0#1791-9,"PONTE MAMMOLO (MB)","17451867",1,"",11573,0,0
451,0#18,0#1791-10,"CINECITTA' (MA)","17451865",0,"",11574,0,0
451,0#18,0#1791-11,"PONTE MAMMOLO (MB)","17451866",1,"",11573,0,0
451,0#18,0#1791-12,"CINECITTA' (MA)","17451863",0,"",11574,0,0
