route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,exceptional
451,0#18,0#1780-3,"PONTE MAMMOLO (MB)","17451780",1,"",11573,0,0
451,0#18,0#1780-4,"CINECITTA' (MA)","17451781",0,"",11574,0,0
451,0#18,0#1780-5,"PONTE MAMMOLO (MB)","17451782",1,"",11573,0,0
451,0#18,0#1780-6,"CINECITTA' (MA)","17451783",0,"",11574,0,0
451,0#18,0#1780-7,"PONTE MAMMOLO (MB)","17451791",1,"",11573,0,0
451,0#18,0#1780-8,"CINECITTA' (MA)","17451792",0,"",11574,0,0
451,0#18,0#1780-9,"PONTE MAMMOLO (MB)","17451779",1,"",11573,0,0
451,0#18,0#1780-10,"CINECITTA' (MA)","17451794",0,"",11574,0,0
451,0#18,0#1780-11,"PONTE MAMMOLO (MB)","17451795",1,"",11573,0,0
451,0#18,0#1780-12,"CINECITTA' (MA)","17451796",0,"",11574,0,0
451,0#18,0#1780-13,"PONTE MAMMOLO (MB)","17451797",1,"",11573,0,0
451,0#18,0#1780-14,"CINECITTA' (MA)","17451805",0,"",11574,0,0
451,0#18,0#1780-15,"PONTE MAMMOLO (MB)","17451784",1,"",11573,0,0
451,0#18,0#1780-16,"CINECITTA' (MA)","17451785",0,"",11574,0,0
451,0#18,0#1780-17,"PONTE MAMMOLO (MB)","17451786",1,"",11573,0,0
451,0#18,0#1780-18,"CINECITTA' (MA)","17451789",0,"",11574,0,0
451,0#18,0#1780-19,"PONTE MAMMOLO (MB)","17451787",1,"",11573,0,0
451,0#18,0#1780-20,"CINECITTA' (MA)","17451790",0,"",11574,0,0
451,0#18,0#1780-21,"PONTE MAMMOLO (MB)","17451788",1,"",11573,0,0
451,0#18,0#1780-22,"CINECITTA' (MA)","17451803",0,"",11574,0,0
451,0#18,0#1780-23,"PONTE MAMMOLO (MB)","17451798",1,"",11573,0,0
451,0#18,0#1780-24,"CINECITTA' (MA)","17451802",0,"",11574,0,0
